cif
"# generated using pymatgen
data_Mg(FeO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.93243361
_cell_length_b   8.07664350
_cell_length_c   7.67384119
_cell_angle_alpha   71.05125915
_cell_angle_beta   78.98299832
_cell_angle_gamma   79.53902932
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg(FeO2)2
_chemical_formula_sum   'Mg2 Fe4 O8'
_cell_volume   167.32792385
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg1  1  0.309068  0.157776  0.224149  1
  Mg  Mg2  1  0.686471  0.819770  0.807313  1
  Fe  Fe3  1  0.600425  0.189976  0.609294  1
  Fe  Fe4  1  0.147312  0.508238  0.197261  1
  Fe  Fe5  1  0.848164  0.469218  0.834443  1
  Fe  Fe6  1  0.394590  0.787700  0.423333  1
  O  O7  1  0.852587  0.691342  0.603742  1
  O  O8  1  0.445861  0.334076  0.774296  1
  O  O9  1  0.548855  0.641362  0.260998  1
  O  O10  1  0.143136  0.285184  0.428749  1
  O  O11  1  0.136667  0.005643  0.720973  1
  O  O12  1  0.772309  0.344692  0.110763  1
  O  O13  1  0.859701  0.971746  0.309081  1
  O  O14  1  0.223130  0.632613  0.921224  1
"
