cif
"# generated using pymatgen
data_Ti(GeO3)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.59248223
_cell_length_b   6.76553336
_cell_length_c   6.76553341
_cell_angle_alpha   83.96620067
_cell_angle_beta   76.43664765
_cell_angle_gamma   76.43663810
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti(GeO3)2
_chemical_formula_sum   'Ti2 Ge4 O12'
_cell_volume   241.56221915
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti1  1  0.750000  0.892983  0.107017  1
  Ti  Ti2  1  0.250000  0.107017  0.892983  1
  Ge  Ge3  1  0.772826  0.380231  0.208773  1
  Ge  Ge4  1  0.727174  0.791227  0.619769  1
  Ge  Ge5  1  0.227174  0.619769  0.791227  1
  Ge  Ge6  1  0.272826  0.208773  0.380231  1
  O  O7  1  0.500253  0.346288  0.385156  1
  O  O8  1  0.999747  0.614844  0.653712  1
  O  O9  1  0.499747  0.653712  0.614844  1
  O  O10  1  0.000253  0.385156  0.346288  1
  O  O11  1  0.214321  0.096993  0.630580  1
  O  O12  1  0.285679  0.369421  0.903007  1
  O  O13  1  0.785679  0.903007  0.369421  1
  O  O14  1  0.714321  0.630580  0.096993  1
  O  O15  1  0.883702  0.176106  0.040064  1
  O  O16  1  0.616298  0.959936  0.823894  1
  O  O17  1  0.116298  0.823894  0.959936  1
  O  O18  1  0.383702  0.040064  0.176106  1
"
