cif
"# generated using pymatgen
data_Cr2O5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   11.09394237
_cell_length_b   6.13336927
_cell_length_c   3.61396391
_cell_angle_alpha   107.13444640
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr2O5
_chemical_formula_sum   'Cr4 O10'
_cell_volume   234.99156376
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr1  1  0.151131  0.906258  0.953129  1
  Cr  Cr2  1  0.348869  0.093742  0.546871  1
  Cr  Cr3  1  0.651131  0.093742  0.546871  1
  Cr  Cr4  1  0.848869  0.906258  0.953129  1
  O  O5  1  0.000000  0.021886  0.010943  1
  O  O6  1  0.141005  0.637762  0.818882  1
  O  O7  1  0.181354  0.995622  0.497811  1
  O  O8  1  0.318646  0.004376  0.002188  1
  O  O9  1  0.358995  0.362238  0.681118  1
  O  O10  1  0.500000  0.978114  0.489057  1
  O  O11  1  0.641005  0.362238  0.681118  1
  O  O12  1  0.858995  0.637762  0.818882  1
  O  O13  1  0.681354  0.004376  0.002188  1
  O  O14  1  0.818646  0.995622  0.497811  1
"
