cif
"# generated using pymatgen
data_Mg(CuO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.44900481
_cell_length_b   5.44900540
_cell_length_c   6.80204096
_cell_angle_alpha   113.61206104
_cell_angle_beta   113.61206685
_cell_angle_gamma   89.99999512
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg(CuO2)2
_chemical_formula_sum   'Mg2 Cu4 O8'
_cell_volume   166.43737686
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg1  1  0.375000  0.625000  0.750000  1
  Mg  Mg2  1  0.625000  0.375000  0.250000  1
  Cu  Cu3  1  -0.000000  0.000000  0.500000  1
  Cu  Cu4  1  -0.000000  0.500000  0.000000  1
  Cu  Cu5  1  0.500000  0.000000  0.500000  1
  Cu  Cu6  1  -0.000000  0.000000  0.000000  1
  O  O7  1  0.744263  0.766612  0.488525  1
  O  O8  1  0.778088  0.255737  0.011475  1
  O  O9  1  0.233388  0.255737  0.011475  1
  O  O10  1  0.255737  0.233388  0.511475  1
  O  O11  1  0.255737  0.778088  0.511475  1
  O  O12  1  0.221912  0.744263  0.988525  1
  O  O13  1  0.744263  0.221912  0.488525  1
  O  O14  1  0.766612  0.744263  0.988525  1
"
