cif
"# generated using pymatgen
data_MgCr2O5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.70045256
_cell_length_b   5.36398149
_cell_length_c   11.24412620
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   110.17783738
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgCr2O5
_chemical_formula_sum   'Mg2 Cr4 O10'
_cell_volume   209.48871971
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg1  1  0.892983  0.785964  0.750000  1
  Mg  Mg2  1  0.107018  0.214037  0.250000  1
  Cr  Cr3  1  0.207964  0.415927  0.596591  1
  Cr  Cr4  1  0.792037  0.584074  0.403408  1
  Cr  Cr5  1  0.792037  0.584074  0.096592  1
  Cr  Cr6  1  0.207964  0.415927  0.903409  1
  O  O7  1  0.699482  0.398964  0.250000  1
  O  O8  1  0.300519  0.601037  0.750000  1
  O  O9  1  0.232193  0.464386  0.077829  1
  O  O10  1  0.767809  0.535616  0.922171  1
  O  O11  1  0.767809  0.535616  0.577829  1
  O  O12  1  0.232193  0.464386  0.422170  1
  O  O13  1  0.044961  0.089921  0.633771  1
  O  O14  1  0.955039  0.910078  0.366229  1
  O  O15  1  0.044961  0.089921  0.866229  1
  O  O16  1  0.955039  0.910078  0.133772  1
"
